2026-03-10 15:34:09,284 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,284 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042286,"s":"BTCUSDT","t":6087479770,"p":"70999.15000000","q":"0.00008000","T":1773137042285,"m":false,"M":true}}...
2026-03-10 15:34:09,284 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,284 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,285 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042286,"s":"BTCUSDT","t":6087479771,"p":"70999.15000000","q":"0.00008000","T":1773137042285,"m":false,"M":true}}...
2026-03-10 15:34:09,285 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,285 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,285 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042286,"s":"BTCUSDT","t":6087479772,"p":"70999.15000000","q":"0.00008000","T":1773137042285,"m":false,"M":true}}...
2026-03-10 15:34:09,286 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,286 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,286 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042286,"s":"BTCUSDT","t":6087479773,"p":"70999.15000000","q":"0.00008000","T":1773137042285,"m":false,"M":true}}...
2026-03-10 15:34:09,286 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,287 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,287 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042286,"s":"BTCUSDT","t":6087479774,"p":"70999.15000000","q":"0.00008000","T":1773137042285,"m":false,"M":true}}...
2026-03-10 15:34:09,287 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,287 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,288 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042286,"s":"BTCUSDT","t":6087479775,"p":"70999.15000000","q":"0.05000000","T":1773137042285,"m":false,"M":true}}...
2026-03-10 15:34:09,288 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,288 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,288 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042286,"s":"BTCUSDT","t":6087479776,"p":"70999.15000000","q":"0.00008000","T":1773137042285,"m":false,"M":true}}...
2026-03-10 15:34:09,289 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,289 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,289 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042286,"s":"BTCUSDT","t":6087479777,"p":"70999.15000000","q":"0.18576000","T":1773137042285,"m":false,"M":true}}...
2026-03-10 15:34:09,289 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,289 | DEBUG    | cryptobot.orderflow.cvd | CVD swing detected: -0.0794 -> 0.1064
2026-03-10 15:34:09,289 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,976 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@ticker","data":{"e":"24hrTicker","E":1773137043027,"s":"BTCUSDT","p":"2963.23000000","P":"4.355","w":"69340.31645733","x":"68035.93000000","c":"70999.15000000","Q":"0.31289000","b":...
2026-03-10 15:34:09,977 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@ticker
2026-03-10 15:34:10,096 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137043146,"s":"BTCUSDT","t":6087479778,"p":"70999.14000000","q":"0.00010000","T":1773137043146,"m":true,"M":true}}...
2026-03-10 15:34:10,097 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:10,097 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:10,197 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137043247,"s":"BTCUSDT","t":6087479779,"p":"70999.15000000","q":"0.01064000","T":1773137043247,"m":false,"M":true}}...
2026-03-10 15:34:10,197 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:10,197 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:10,198 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137043247,"s":"BTCUSDT","t":6087479780,"p":"70999.15000000","q":"0.00780000","T":1773137043247,"m":false,"M":true}}...
2026-03-10 15:34:10,198 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:10,198 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:10,198 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137043247,"s":"BTCUSDT","t":6087479781,"p":"70999.15000000","q":"0.00016000","T":1773137043247,"m":false,"M":true}}...
2026-03-10 15:34:10,198 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:10,199 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:10,199 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137043247,"s":"BTCUSDT","t":6087479782,"p":"70999.15000000","q":"0.00016000","T":1773137043247,"m":false,"M":true}}...
2026-03-10 15:34:10,199 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
